text,anti
義務教育の限界,true
女性に嫌われる天才,true
最低野郎,true
生きる価値無し,true
クズ,true
糞ウンコ,true
子供おじさん,true
底辺YouTuber,true
ニート,true
能力オールゼロ,true
無職,true
無能,true
ありとあらゆる万事から拒絶された男﻿﻿,true
え？これ人間なの？,true
頭に黒カビが生えている男,true
六角形のグラフなら限りなく点に近い,true
いいところが見当たらない,true
体は大人、心は子ども,true
神がおふざけで作った男,true
オフ会0人,true
うんこ製造機,true
頭トロピカル,true
音の出るゴミ,true
気持ち悪い,true
セクハラ野郎,true
働け,true
こうはなりたくない,true
才能ない,true
つまらなすぎる,true
早く消えてほしい,true
詐欺師,true
ロックに人権を否定された男,true
リンカーンに奴隷として売られた男,true
回収されたペットボトルの蓋より使えない,true
時間返せ,true
生理的に無理,true
吐いた,true
他人を馬鹿にしている,true
これを見せられる側の気持ちも考えろ,true
ナイチンゲールに殺された男,true
人を不快にさせる天才,true
通報しました,true
頭が痛くなった,true
ばか,true
小学校からやりなおせ,true
モグラ人間,true
わいせつ物陳列罪,true
汚物,true
親の金を出会い系につぎ込む無職,true
人生のすべてをまあいいやで誤魔化してきた男,true
絵に描いた餅,true
ミジンコの方が役に立ってる,true
騒音,true
Youtube観るのやめます,true
失望しました,true
ユーチューバー辞めろ,true
ゴミ,true
心の荒んだ現代社会に現れたオアシス,false
大物Youtuber,false
笑顔をもらえる,false
勇気をもらえる,false
世界一人を笑わせた男,false
才能の塊,false
伝説となった男,false
最高,false
地球上で最も好かれる男の一人,false
感動をありがとう,false
動画楽しかった！,false
すべてが足りている,false
なんだかんだで愛されている,false
女子10人くらいでいきます,false
おい！人気者！,false
笑顔スプリンクラー,false
ありがとう,false
大ファンです！,false
